SupplierNo;Name;City
1;d.velop AG;Gescher
2;Candor SE;Dublin
3;Mystery Meats Co.;Port Moresby
4;Aban Shipyard Ltd.;Karachi
5;Le Bouchon S.A.;Nantes
6;nordzee GmbH;Frankfurt
7;hufte GmbH;Wien
8;lanciere N.V.;Amsterdam
9;Cony Corporation;Tokyo
10;FoodCassa S.p.A.;Rom
11;Sanguine Skincare Ltd.;Edinburgh
12;North Wind ASA;Oslo
13;ABG Offshore Ltd.;Maputo
14;Lange Fahrzeugteile AG;Düsseldorf
15;Admire Artists Inc.;New York
16;Next Gen Tech Inc.;Seattle
17;Drucker & Zubehör GmbH;Zürich
18;Epic Adventure Inc.;Montreal
19;Pop-Culture Partners Ltd.;Auckland
20;Spilling The Beans Inc.;Maracaibo
21;Gourmet Gazpacho S.A.;Bahía Blanca
22;Eingetragene Schiffbau Gesellschaft mbH;Hamburg
23;Inspire Fitness Co.;Port Vila
24;Solar Park Management SE;Madrid
25;Hellenic Oil S.A.;Athen
26;Maxxx Energy Ltd.;Beijing
27;Pearl Petit S.A.;Paris
28;Grupa Energia S.A.;Warschau
29;Equity Resources Ltd.;Lubumbashi
30;WeHeartShoes Ltd.;Wonsan
